"(Kaanha O Kaanha) - 4(Jhumein Hai Dharati, Jhumein Gagan)- 3
(Jahaan Ho Raadha Kishan Ka Milan)- 2
(Hum Toh Aaye Hai Tere Darshan Ko)- 2
Apane Charano Mein De Do Hamako Sharan
((Kaanha De Do Sharan)- 3 Chhaliya De Do Sharan)- 2(Andaaj Mohan Ka Sabse Niraala
Unki Deewaani Hai Braj Ki Har Baala)- 2
Yamuna Ke Tat Par Jab Bansi Bajaaye
Kaanha Ki Chaahat Mein Raadha Chali Aaye
(Abb Na Jaayenge Hum, Tumko Paayenge Hum)- 2
Hamko Hai Bas Tumhaari Abb Toh Lagan
((Kaanha De Do Sharan)-3 Chhaliya De Do Sharan)- 2(Kaise Kaise Chhaliya Raas Rachaaye
Chhede Mujhe Woh Kitana Sataaye)- 2
Chori Se Chhup Chhupake Maakhan Churaaye
Saara Gokul Phir Bhi Usko Hi Chaahe
(Maine Tujhko Diya Apana Yeh Yeh Jiya)- 2
Mora Tan Mann Hai Tujhape Abb Toh Arpan
((Kaanha De Do Sharan)-3 Chhaliya De Do Sharan)- 4O Kaanha O Kaanha O Kaanha...(O Kaanha O More Kaanha De Do Sharan)",E
"Mere dushman samajh rahe thay main
Ab kabhi laut ke na aaunga
Ek gumnaami ka samundar hai
Uss mein hi jaa ke doob jaunga
Abhi baaki meri kahani hai
Saari duniya ko jo sunaani hai
Mujhe phechano, dekho main hun kaun
Aa raha hoon palat ke
Main hoon Don, Don, Don",A
"Palkon se, pehron mein
Palkon se chaand kaat ke
Pehron mein raat kheti hoon..
Dil uchhal ke rukta hai..
Main lapak ke thaam leti hoonYe jo main kehti hoon
Wo main na kehti hoon
Jaane ye kya ho gaya..Palkon se chaand kaat ke
Pehron mein raat kheta hoon..
Dil uchhal ke rukta hai..
Main lapak ke thaam leta hoonYe jo main kehta hoon
Wo main na kehta hoon
Jaane ye kya ho gaya..Palkon se chaand kaat ke
Pehron mein raat kheta hoon..Aye.. hey..Haan.. baadalon ko noch ke tera
Aks bunti rehti hoon
???????? ke haathon pe tera
Naam chunti rehti hoonO.. O.. O.. 
Baadalon ko noch ke tera
Aks bunti rehta hoon
???????? ke haathon pe tera
Naam chunti rehta hoonChhap tere pairon ki
Nazron pe ukerna
Zulfon ki imamilat
Ungaliyon se phernaYe jo main kehti hoon
Wo main na kehti hoon
Jaane ye kya ho gaya..Palkon se chaand kaat ke
Pehron mein raat kheti hoon..Haan.. din utar ke aankhon se mera
Ret pe tikk jaata hai
Tu phisal ke baahon se jo...
Nazar na aata haiO.. din utar ke aankhon se mera
Ret pe tikk jaata hai
Tu phisal ke baahon se meri jo...
Nazar na aata haiSaanson pe ruke-ruke
Aitbaar rakhti hoon [kya..]
Khidkiyon pe baandh ke tera 
Intezar rakhtii hoonAahat pe mudta hoon
Dhadkan se judta hoon
Jaane ye kya ho gayaPalkon se.. chaand kaat ke
Pehron mein.. raat kheta hoon..
Dil uchhal ke rukta hai..
Main lapak ke.. thaam leta hoonYe jo main kehta hoon
Wo main na kehti hoon
Jaane ye kya ho gaya..Palkon se chaand kaat ke
Pehron mein raat kheta hoon..
Dil uchhal ke rukta hai..
Main lapak ke thaam leta hoon",C
"sawar sawar gayi main, saawariya
kabse khadi main tori atariya
kabse khadi main tori atariya
beet na jaaye o raama saari umariyaan, o o sawar sawar gayi main
sawar gaye chaand sitaare dekho, sawar gaye saare nazaarein dekho
dekho gagan pe banake badariyaan, chamaki teri yaadon ki bijuriyaan
tan ko jalaaye thandi bayariyaan
tan ko jalaaye thandi bayariyaan
beet na jaaye o raama saari umariyaan
o o sawar sawar gayi main, saawariya
sawar sawar sawar gayi main......
",E
"Mera mann kyon tumhein chaahe mera mann
Na jaane jud gaya kaise ye bandhan
Mera mann kyon tumhein chaahe mera mann
Na jaane jud gaya kaise ye bandhan
Kaisi ye deewangi kasia ye deewanapan
Mera mann kyon tumhein chaahe mera mannMain deewani ban gayi tumne aisa kiya
Meri neendein looti chein bhi mera liya
Mera dil meri jaan ho
Tum abhi nadaan ho
Ishq se anjaan ho
Mera mann kyon tumhein chaahe mera mannPyaar kehte hain kisey hota hai ye dard kya
aaj pehli baar ye maine jaana dilruba
Jaagi jaagi so gayi kis jahan mein kho gayi
Kya se kya main ho gayiMera mann kyon tumhein chaahe mera mann
Na jaane jud gaya kaise ye bandhan
Kaisi ye deewangi kasia ye deewanapan
Mera mann kyon tumhein chaahe mera mann
Mera mann
Ho mera mann",C
"Jab roop ka apne jalwa dikha du...
Saiyaan ko rasta main ghar ka bhula du..
Jab roop ka apne jalwa dikha du
Saiyaan ko rasta main ghar ka bhula du
Kamsin kamaria se lu jo hilore.. e..
Kamsin kamaria se lu jo hilore
Aisa laga du thumka
Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka yeh mera thumka
Chhodega na yeh tumkaRoop ki main jhalakti udaaharan (example)
Zid mein aaoon to pee jaoon sagar
Meri aankhon mein jalte sharaare
Rehbar mere teekhe karaareHaye.. Roop ki main jhalakti udaaharan
Zid mein aaoon to pee jaoon sagar
Meri aankhon mein jalte sharaare
Rehbar mere teekhe karaare
Sardi ke mausam mein garmi chadha du..
Sardi ke mausam mein garmi chadha du
Aisa laga du thumka
Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka yeh mera thumka
Chhodega na yeh tumka
Re Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka yeh mera thumka
Chhodega na yeh tumkaJab main palkein jhuka ke uttha du
Aashikon pe main bijli gira du
Loot lu jisko bhi jee mein aaye
Ek dafa jo adaayein dikha du
Arre jab main palkein jhuka ke uttha du
Aashikon pe main bijli gira du
Loot lu jisko bhi jee mein aaye
Ek dafa jo adaayein dikha du
Koi offer kare hai angoothi..
Koi offer kare hai angoothi
Koi dikha ke chhalla
Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka yeh mera thumka
Chhodega na yeh tumka
Thumka.. Thumka..
Thumka yeh mera thumka",E
"Ishq Hai...Ishq Hai...
Ishq Hai...Ishq Hai...Kaise Batayein Kuch Keh Na Paayein
Haal-E-Dil Ye Kisko SunaayeinKaise Batayein Kuch Keh Na Paayein
Haal-E-Dil Ye Kisko Sunaayein
Anjaana Sa Ye Kaisa Nasha Hai
Dheere Dheer Se Jo Mujhpe Chadha Hai
Ishq Bulaaye Ruka Na Jaaye
Ishq Ke Aage Kuch Na Yahaan Hai
Ishq Ibaadat, Ishq Hai Aadat
Jeene Ki Chaahat Ishq Jagaaye
Ishq Na Jaaye, Ishq Lubhaaye
Ishq Sataaye Haaye
Ishq Sataaye Haaye...
Ishq Sataaye...Ishq Hai...Ishq Hai...
Ishq Hai...Ishq Hai...Ishq Dava Hai Dava
Ishq Duaa Hai Duaa
Ishq Wafaa Hai Wafaa
Ishq Sazaa Hai Sazaa
Ishq Nasha Hai Nasha
Ishq Khala Hai Khala
Ishq Adaa Hai Adaa
Ishq Balaa Hai BalaaSamjo Naino Se Naino Ki Bhasha
Bin Bataye Sab Keh Jaaye
Samjo Naino Se Naino Ki Bhasha
Bin Bataye Sab Keh Jaaye
Huaa Hain Kaisa Tera Asar Hain
Khamoshi Mein Bhi Tera Bazar Hain
Ishq Ka Kaagaz Mann Ki Imaarat
Huyi Rivaayat Ishq Sikhaye
Ishq Hain Majhab Ishq Hain Matbar
Rab Ki Inayat Ishq Dilaaye
Ishq Le Jaaye Ishq Banaye
Ishq Mitaaye
Haaye Ishq Mitaaye
Haaye Ishq MitaayeIshq Hai...Ishq Hai...
Ishq Hai...Ishq Hai...Ishq Dava Hai Dava
Ishq Duaa Hai Duaa
Ishq Wafaa Hai Wafaa
Ishq Sazaa Hai Sazaa
Ishq Nasha Hai Nasha
Ishq Khala Hai Khala
Ishq Adaa Hai Adaa
Ishq Balaa Hai BalaaIshq Khara Hai Khara
Ishq Dhara Hai Dhara
Ishq Khuda Hai Khuda
Ishq Khuda Hai KhudaIshq Dava Hai Dava
Ishq Duaa Hai Duaa
Ishq Wafaa Hai Wafaa
Ishq Sazaa Hai SazaaIshq Hai...
Ishq Hai",C
"Hamri ataria pe... haaye..Hamri ataria pe aiyo balam ji
Hamri ataria pe aiyo balam ji
Nainon ke pench lad jaaye haaye.
Nainon ke pench lad jaayeHamri ataria pe aiyo balam ji
Hamri ataria pe aiyo balam ji
Nainon ke pench lad jaaye haaye re..
Nainon ke pench lad jaayeMan ke kewadia...
Man ke kewadia kholo balam ji
Sab din ke jhagde mit jaaye.. haaye re..
Nainon ke pench lad jaaye haaye re..Nainon ke pench lad jaayePhulwari dil ki sooni padi hai..
Barkha jhadi ban aa..
Barso jhamaajham angana mein more
Balma yeh man bhar aaye
Tohre kaaran.. haaye..
Tohre kaaran hum to balam ji
Beech bajaria lut jaaye
Nainon ke pench lad jaaye haaye re..
Nainon ke pench lad jaayeHamri ataria pe aiyo balam ji
Hamri ataria pe aiyo balam ji
Nainon ke pench lad jaaye haaye.
Nainon ke pench lad jaaye",D
"Rang chada hai, rang chadega
Band baja hai, band bajega
Jashn chala hai, jashn chalega
Yeh ho dagar, woh ho dagar, maina ruke ga
Aila re aila, haath jamailya
Aila re aila, haath jamailya
Rang chada hai, rang chadega
Band baja hai, band bajega
Jashn chala hai, jashn chalega
Yeh ho dagar, woh ho dagar, maina ruke ga
Aila re aila, haath jamailya
Aila re aila, haath jamailyaMain hoon kahin, tu hai kahin, yeh hai kahin, woh hai kahin
Dole dole dole re jiya
Baat chali, aisi chali, dhoom machi gali gali
Aisa tune kaam hai kiya
Main hoon kahin, tu hai kahin, yeh hai kahin, woh hai kahin
Dole dole dole re jiya
Baat chali, aisi chali, dhoom machi gali gali
Aisa tune kaam hai kiyaGalla bata hai, sab mein batega
Yeh bhi lutega, woh bhi lutega
Jhatke mein aisa, halla machega
Yeh ho dagar, woh ho dagar, maina ruke ga
Aila re aila, haath jamailya
Aila re aila, haath jamailyaJaane jigar, sab ko khabar, dekh zara ek nazar
Suraj saacham ke hai diya
Raat gayi baat gayi, baat shuru nayi nayi
Socha tha jo maine kar liya
Haan haan jaane jigar, sab ko khabar, dekh zara ek nazar
Suraj saacham ke hai diya
Raat gayi baat gayi, baat shuru nayi nayi
Socha tha jo maine kar liyaBacchi hassegi, bacchu hassega
Paandu naachega, thondu naachega
Yeh bhi judega, woh bhi judega
Yeh ho dagar, woh ho dagar, maina ruke ga
Aila re aila, haath jamailya
Aila re aila, haath jamailya",E
"Ghar ho rahi hoon bore
Tu lagaa le thoda zor
Disco mein nachne ka mann kare hardcore
Haan main daddy ko sula ke
Apni mummy ko pata ke
Aa jaaungi tujhse milne
Dress mini wali paa ke
Jaanu kuch bhi tu kar
Mujhe nahi rehna ghar
Baby mujhe mere ghar se utha le
utha le utha le....
(Mujhe mere ghar se utha le)Jaanu.. Jaanu.. Jaanu..
Aaj raat ka scene bana le
Jaanu.. scene bana le
Jaanu.. scene bana le
Jaanu.. scene bana le
Jaanu... aaj raat ka scene bana le
Scene bana le
Scene bana le
Jaanu.. scene bana le
Jaanu... aaj raat ka scene bana le
(It's yo boy Badshah!)
Gaadi main lagaunga tere ghar ke gate par
Thik 11:15 baje tu ho na jaiyo late par
Time waste na kariyo mera
Baby mujhko kaam bahot hai
Entry ka koi chakkar nahi
Tere yaar ka naam bahot hai
Dress wahi tu daal lio
Jo dilwai thi b'day pe
Party ke baad baby chalenge apne adde pe
Wahan karenge fun!
Teri friendein bhi bula lenge
Tu gaadi mein to beth ja baby
Scene bhi bana lengeKis se tu sharma rahi hai
Scene chalenge khullam khulle
Jinka zor nahi chalta 
Baby unko phad ke leke gye thulle
Police ki tension mat lio
Minister apna bhai hai
Jo naako pe khade hain
Inki bharti maine karaai hai(Aane waale hain exam
Bas aaj ki shaam
Agle weekend main busy hoon
Hai mujhe kuch kaam)Aane waale hain exam
Bas aaj ki shaam
Agle weekend main busy hoon
Hai mujhe kuch kaam
Baithi hoke excite
Baby aaj ki night
Mujhko tu bas club mein ghusa de...
Mujhko tu bas club mein ghusa de!Jaanu.. Jaanu.. Jaanu..
Aaj raat ka scene bana le
Scene bana le
Scene bana le
Scene bana le
Aaj raat ka scene bana le
Jaanu... scene bana le
Scene bana le
Jaanu... scene bana le
Aaj raat ka scene bana le
(It's yo boy Badshah!)",E
